label,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min
person1,0.153998,2.1012155736779285,5.6282,-4.384,-0.345419,3.2666949629168727,5.6039,-10.2965,-0.459621,4.518424714752684,13.6211,-11.6944,1.21566,1.4683698046583236,3.783,-1.02,-0.2474199999999999,0.9995750024157994,1.394,-2.574,0.23161,0.5509050935698563,1.279,-0.651
person1,0.0129979999999999,2.514035152795384,5.6282,-6.1195,-0.206307,3.185153498457866,5.6039,-10.4381,-0.191076,4.335517924744611,14.1032,-11.6944,1.3977200000000003,1.44816795498954,3.783,-1.147,-1.04287,0.813114720433629,0.467,-2.942,0.6474,0.4967979895533419,1.279,-0.592
person1,-0.066728,2.9027749470025146,9.6021,-6.1195,-0.337288,4.395658262405592,9.3375,-18.2728,0.0876949999999999,4.589624315282166,14.1032,-12.8733,-0.2932999999999999,1.2069217920483548,1.706,-2.635,-0.2776400000000001,1.4086830193087758,2.319,-2.942,0.1862299999999999,0.8419580576299991,1.224,-1.98
person1,0.194236,2.9607087543329618,9.6021,-5.6426,-0.1968599999999999,4.124057838335854,9.3375,-18.2728,-0.949188,3.9547883076134887,12.5537,-12.8733,-0.9336799999999998,0.7404856157081697,0.469,-2.635,0.8203499999999999,0.8684821820308408,2.319,-0.999,-0.31292,0.7099693645403713,1.06,-1.98
person1,0.1371259999999999,3.129625493928381,7.405,-6.4021,-0.441967,3.8275086146425097,8.7176,-13.7585,-0.823202,4.3644070708166005,13.1406,-10.9608,-0.09203,1.4375528129428845,3.798,-1.683,0.5984399999999999,0.8610400842392103,1.953,-1.728,-0.0992599999999999,0.6791198347118054,1.404,-1.737
person1,0.0151599999999999,3.0978496116441216,7.405,-6.7958,-0.7325879999999999,3.775577430458804,8.7176,-13.7585,-0.518549,4.4393175447960855,13.1406,-10.9608,0.56003,1.3251437768762826,3.798,-1.69,-0.06597,1.0660165107122457,1.635,-2.219,0.2430999999999999,0.536145775819686,1.404,-0.774
person1,0.104693,2.988588293886353,6.1217,-6.7958,-0.7536080000000002,3.6087490728847382,4.7959,-14.0209,-0.681837,4.204688020919464,14.7792,-9.4204,-0.3888,1.2072478677311524,1.979,-2.11,0.28473,1.1213085416403263,2.44,-2.219,-0.08891,0.6096595025011083,1.387,-1.185
person1,0.00399,2.99332822121113,6.1217,-6.4848,-0.8499599999999999,3.415670887500313,4.7959,-14.0209,-0.6193550000000001,4.369162333935165,14.7792,-9.4204,-0.15863,1.7040837797431905,3.752,-2.11,0.52909,0.9849731073086272,2.44,-1.592,-0.26058,0.5526730302663939,0.779,-1.185
person1,-0.1373129999999999,2.8655760307503813,4.241,-6.648,-0.554465,1.730465237751298,3.2995,-4.411,-0.659706,4.118090586025411,17.7298,-11.6156,0.47656,1.4101919872159536,3.752,-1.536,-0.50309,1.0426971542372914,1.99,-2.263,0.40726,0.6714209960519509,1.53,-0.778
person1,0.2857269999999999,2.420418863777987,4.241,-6.648,-0.1601099999999999,1.4374650275939085,3.2995,-4.3812,-0.835241,3.39335524869672,17.7298,-11.6156,-0.48814,1.0197610238965724,1.624,-2.184,-0.13851,1.2178828997382083,2.94,-2.263,0.16136,0.8201212218848252,1.53,-1.833
person2,0.065077,0.8008679179433454,2.2241,-2.1075,0.04753,2.913448247248257,4.7956,-12.767,-0.0035669999999999,0.6242339536584021,1.4628,-1.8355,-0.21001,0.5285675610228616,0.669,-1.209,-2.09815,1.3253767398461662,-0.015,-4.76,-0.47212,0.3256013637575987,0.261,-0.963
person2,-0.0167959999999999,1.872477494243518,3.2044,-4.1892,-0.481217,3.1108861941154937,4.7956,-12.767,0.258988,2.091145798591207,5.7319,-6.7995,0.31113,0.980183230190904,1.589,-1.209,-1.4641000000000002,1.1768656068411791,0.177,-4.5,-0.5057499999999999,0.7192059085469813,1.058,-1.541
person2,-0.6014629999999999,2.383846186340957,3.2044,-5.0285,-0.4756270000000001,1.9467167972403117,2.2177,-6.6253,0.565492,2.2142256267593825,5.7319,-6.7995,1.09498,0.3905540995130696,1.601,0.272,-0.3826799999999999,0.7013892113930652,1.139,-1.27,0.2922200000000001,0.9254907470246708,1.069,-1.541
person2,0.042063,1.9549463857204403,2.4812,-5.0285,-0.342772,1.5842725754583695,1.9284,-6.6253,0.3335829999999999,1.3863508153578712,2.6009,-2.0745,0.84586,0.430108889665974,1.601,0.176,-0.2889799999999999,0.7445366531466319,1.139,-1.308,0.7979100000000001,0.6465190568019483,2.242,-0.45
person2,-0.317499,1.929486017941911,2.3751,-4.2307,-0.368568,1.5859044058902865,2.3099,-4.8757,0.426134,3.1882510247488547,5.4207,-14.3877,0.92339,0.7887955131180396,2.515,-0.833,-0.4279799999999999,1.7352880119577974,2.454,-4.233,1.1459599999999996,1.2067967192597773,3.144,-0.45
person2,-1.3253720000000002,2.802944220106112,4.9139,-5.7282,-0.6466890000000001,2.133097110638222,2.3869,-7.1615,0.620154,3.243431310968946,5.4207,-14.3877,0.8122299999999999,0.9023040860693106,2.515,-1.026,-0.20939,2.032551319540458,2.454,-4.233,1.82826,1.4653167935482572,4.423,-0.344
person2,0.1384089999999999,2.856206111917795,4.9139,-5.7282,-0.681276,1.6862794638271716,2.3869,-7.1615,0.128407,1.486214273011816,2.2736,-3.8122,-0.1443499999999999,0.855917965187852,1.104,-1.568,-0.0034699999999999,1.2006368045602496,1.719,-3.761,1.12396,1.4585096857526667,4.423,-0.037
person2,-0.184405,2.267453396060894,3.9836,-4.5752,-0.399335,1.4152559405448455,2.0252,-4.3985,0.1407539999999999,2.94933001501334,4.7405,-13.688,-1.19698,1.274710781061153,0.3,-3.842,-0.3861699999999999,0.91551365562528,2.285,-1.455,-0.48284,0.8303567533161742,0.409,-1.975
person2,-1.1811699999999998,2.755525592882473,5.2655,-5.4648,-0.5256350000000001,1.7457647124938942,2.0252,-4.9302,0.561893,2.95612813144939,4.7405,-13.688,-0.75716,1.4709359881422852,0.58,-3.842,-0.44728,1.2291711018307248,2.316,-2.093,-1.0276500000000002,0.5399130565061921,-0.073,-1.975
person2,0.1692219999999999,2.4943593215019435,5.2655,-5.4648,-0.5927019999999998,1.414071710422842,1.9923,-4.9302,-0.1664049999999999,2.749379901744421,2.969,-13.9785,0.3385099999999999,0.4681513287022227,1.089,-1.484,0.10675,1.560972737226258,3.285,-2.116,-0.24216,0.8121129532822936,1.124,-1.436
person2,-0.2536479999999999,2.3978556410360663,6.5283,-4.6859,-0.4333579999999999,1.614381428411514,2.1287,-4.2991,0.139982,3.2325545587083697,5.0488,-13.9785,0.42956,0.3225872153622203,1.089,-0.253,0.49954,1.3456232187609898,3.285,-2.116,0.1075299999999999,0.5313349959101018,1.124,-0.622
person2,-1.477071,3.306130078325272,6.5283,-6.1888,-0.565484,1.882124484537877,2.1287,-6.7497,1.001549,1.8925469665252803,5.0488,-5.0453,0.1754399999999999,0.5093723870478932,1.013,-0.687,0.4122399999999999,0.6863336368050899,1.605,-0.884,0.52698,0.8318174938231963,1.992,-0.508
person2,-0.4221679999999999,3.2308780123494025,6.3516,-6.1888,-0.6505200000000001,1.426525061083397,1.7756,-6.7497,0.00038,1.7924767780359052,2.1777,-7.7564,0.7002900000000001,0.8172587129785732,1.736,-0.687,-0.07951,0.6049950579145338,0.821,-0.894,1.5102800000000005,0.5081134463320512,2.081,0.073
person2,-0.034651,2.9536694628301854,5.796,-5.7305,-0.627512,1.2655911481193205,0.9841,-4.6778,0.223775,2.632356099508806,3.1191,-11.8199,0.64759,0.7553214994793658,1.736,-0.332,-0.0397,0.5667307895983664,0.956,-0.894,0.84488,0.9770112359392368,2.081,-0.399
person2,-0.630695,2.549569300976108,5.796,-5.7305,-0.324213,1.1250474061980364,1.3262,-4.6778,0.8482369999999999,2.1372740654486484,3.1191,-11.8199,-0.8745499999999998,1.5000419076637408,0.79,-3.973,-0.03642,0.6876208313284057,1.571,-1.394,-0.8013200000000001,1.0858609197174829,0.986,-2.871
person2,0.3248189999999999,1.8622557312639023,3.2427,-4.0398,-0.401507,1.0002519666659957,1.3262,-4.0825,-0.131961,1.5369706536826977,2.4811,-4.6704,-0.92149,1.5391728035184709,0.65,-3.973,-0.3161299999999999,0.5899635950932511,1.571,-1.394,-1.18637,0.882042930023273,0.32,-2.871
person2,0.414439,2.7374521993666248,7.0728,-4.117,-0.65197,2.0242122575800625,2.2096,-6.1285,0.105899,2.129728665389281,4.4721,-5.4205,0.15522,0.5995448371199369,0.932,-1.698,0.08563,0.6736913637834195,1.336,-1.227,-0.3009699999999999,0.6703949002813433,0.828,-1.584
person2,-0.608121,3.03637067640037,7.0728,-5.3397,-0.2073239999999999,1.914864830850544,2.2096,-6.1285,0.551718,1.8203539432381348,4.4721,-5.4205,0.26381,0.4047274602380064,0.932,-0.563,0.39551,0.5920921900474211,1.336,-1.227,0.38281,0.6479720298084952,1.898,-0.426
person2,-0.660143,2.5127541974935017,3.2978,-5.3397,-0.4690190000000001,1.3644392883729035,1.7774,-4.0151,0.328059,2.116044296289087,4.4939,-5.3985,0.4140299999999999,0.6496572282692037,1.684,-0.563,0.0902899999999999,0.7004629968813485,1.153,-1.175,0.8517100000000001,0.8990382885858836,1.968,-0.426
person2,-0.8488179999999999,2.616923474731736,4.4724,-5.3956,-0.7664880000000001,2.271697017128896,3.1096,-8.705,0.487833,2.482539469858445,4.4939,-7.1054,-0.0010999999999999,1.3177177584403614,1.684,-3.61,-0.1674699999999999,0.6960342708240854,1.167,-1.199,0.2012599999999999,1.3337035972256073,1.968,-2.609
person2,-0.308119,2.5673559015436305,4.4724,-5.3956,-0.277002,1.998695735277929,3.1096,-8.705,0.184067,1.7044971752441105,4.4869,-7.1054,-0.34614,1.200194622433033,0.964,-3.61,-0.16507,0.6573190922146557,1.506,-1.301,-0.59449,0.9277680885661116,1.208,-2.609
person2,-0.3081159999999999,2.061930592240234,3.3274,-4.5255,-0.268748,1.384278017594717,1.9774,-4.7386,0.179699,2.2662392446605,4.3752,-9.9361,0.0457399999999999,0.6305969213148104,0.964,-2.314,0.1550799999999999,0.8218221523547599,1.561,-1.301,-0.04777,0.871560169112746,1.759,-1.712
person2,-0.997001,2.596827347053136,3.4313,-6.1868,-0.540537,1.6393291085047288,1.9774,-4.7386,0.531873,2.401239159766255,4.3752,-9.9361,0.3085199999999999,0.6024918538365427,1.48,-0.626,0.1975,0.8362266076811593,1.561,-0.956,0.7377199999999998,1.0101964013462577,2.147,-0.878
person2,-0.2931290000000001,2.30074841737631,3.4313,-6.1868,-0.7147649999999999,1.4057099954069008,1.5049,-4.5244,-0.035134,2.8556478069993507,4.5654,-15.2469,0.10134,0.8974459632589011,1.48,-2.801,-0.14764,0.6718739137364956,1.176,-1.081,0.2126299999999999,1.267804398568763,2.147,-1.687
