# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.788325,6.3905,5.5539,-2.5553,8.84
3.798647,7.7995,5.1792,-4.5435,10.41
3.808511,7.6306,4.6341,-5.7549,10.62
3.81863,6.5437,3.5312,-5.5494,9.28
3.831786,4.5318,1.4865,-4.5368,6.58
3.8393,1.914,-0.2088,-3.6004,4.08
3.848871,0.1665,-1.512,-3.4711,3.79
3.864749,-1.7929,-2.8677,-3.5023,4.87
3.868884,-4.4639,-4.2676,-3.4275,7.06
3.881353,-5.7635,-3.1563,-0.682,6.61
3.889485,-5.8471,-1.1451,1.2784,6.09
3.899107,-5.0559,0.4515,1.2654,5.23
3.914469,-3.9857,1.6189,1.0131,4.42
3.919202,-3.096,2.5565,0.8698,4.11
3.931298,-2.0142,2.7037,0.9317,3.5
3.939739,-0.4465,1.6037,0.8643,1.88
3.950463,0.4762,0.6868,0.5821,1.02
3.964548,0.8692,0.343,0.1176,0.94
3.969492,1.1508,0.3126,-0.3046,1.23
3.980921,1.4356,0.3691,-0.2898,1.51
3.990137,1.6801,0.4776,-0.0007,1.75
4.000067,1.6612,0.1932,0.5655,1.77
4.015167,1.2185,-0.0232,0.9716,1.56
4.020032,0.2952,0.0459,0.8759,0.93
4.03096,-0.6633,0.2454,0.4727,0.85
4.040579,-1.4292,0.5523,-0.2328,1.55
4.050234,-1.7903,0.6768,-0.5632,2
4.064882,-1.7549,0.7452,-0.5138,1.97
4.0703,-1.3056,0.7584,-0.4785,1.58
4.081088,-0.5613,0.5493,-0.0546,0.79
4.091032,0.5175,0.5104,0.3666,0.81
4.100837,1.4056,-0.1453,1.224,1.87
4.115099,2.0759,-0.3773,2.054,2.94
4.120678,2.6899,-0.8114,3.0418,4.14
4.130917,2.7812,-0.9428,3.7363,4.75
4.141377,2.3706,-0.6329,3.8825,4.59
4.151001,1.4066,-0.4553,3.7453,4.03
4.168835,0.0956,-0.1356,3.2282,3.23
4.170814,-0.852,0.1039,2.116,2.28
4.184379,-2.1458,-0.1103,1.1463,2.44
4.191029,-2.8084,0.0037,0.2049,2.82
4.202101,-2.819,0.1405,-0.4294,2.85
4.217058,-3.1743,0.0813,-0.5165,3.22
4.222891,-3.1939,0.114,-0.748,3.28
4.233597,-2.7846,0.0514,-0.7386,2.88
4.250525,-2.1768,-0.185,-0.1629,2.19
4.251745,-1.4999,-0.4546,0.8724,1.79
4.26663,-0.9256,-0.7046,2.0765,2.38
4.271747,-0.2866,-0.9925,2.9021,3.08
4.282517,-0.7809,-2.4025,2.6743,3.68
4.298491,-2.2455,-3.262,1.008,4.09
4.307566,-4.2171,-3.4532,0.3816,5.46
4.314986,-5.1034,-2.9368,0.8745,5.95
4.322309,-4.7478,-2.6751,1.9425,5.79
4.332216,-3.8702,-2.5765,2.8327,5.44
4.347689,-2.5323,-2.0673,3.2875,4.64
4.352438,-1.0519,-1.1211,3.0775,3.44
4.369142,0.6163,-0.4489,2.9402,3.04
4.372676,2.2594,-0.2792,2.8962,3.68
4.385112,3.4818,-0.5099,2.4203,4.27
4.401922,4.0773,-0.7937,1.5892,4.45
4.403129,3.7201,-1.0433,0.7305,3.93
4.417127,3.6418,-1.4466,-0.5973,3.96
4.422893,3.127,-1.8938,-2.0764,4.2
4.433169,2.0773,-2.4405,-3.507,4.75
4.448978,0.9331,-3.1483,-4.3703,5.47
4.453174,-0.375,-3.6609,-4.8405,6.08
4.464959,-0.9929,-4.0506,-4.7012,6.28
4.473412,-1.573,-4.0295,-3.8359,5.78
4.483116,-1.9634,-3.5446,-2.234,4.63
4.497812,-1.999,-2.7506,-0.5679,3.45
4.503396,-1.5369,-1.9182,0.1463,2.46
4.514371,-0.6165,-1.1748,-0.1849,1.34
4.523893,0.1166,-0.5302,-1.1785,1.3
4.533702,0.7179,0.0859,-2.2046,2.32
4.547873,1.1842,0.6126,-3.0474,3.33
4.554157,1.6052,1.0347,-3.6571,4.13
4.571013,1.8049,1.3,-3.9566,4.54
4.574085,1.9513,1.3921,-4.0541,4.71
4.584505,1.7471,1.422,-3.7383,4.36
4.599717,1.6436,1.369,-3.3764,4
4.604306,1.5377,1.3242,-3.1717,3.77
4.615749,1.5281,1.2978,-3.2316,3.8
4.624738,1.5369,1.3359,-3.4253,3.98
4.634486,1.4826,1.4467,-3.6242,4.17
4.648573,1.5434,1.6964,-3.8559,4.49
4.65482,1.8811,2.068,-3.9733,4.86
4.664918,2.3408,2.3457,-4.1761,5.33
4.674928,2.9843,2.5948,-4.3169,5.85
4.684942,3.4419,2.7557,-4.4791,6.29
